stabbr,GeoID10_trt,TotalPop,NHwht,NHblk,NHasi,NHother,Hisp,pctNHwht,pctNHblk,pctNHasi,pctNHoth,pctHisp,TotFem,TotMale,pctFem,pctMale,Age00_04,Age05_17,Age18_21,Age22_29,Age30_39,Age40_49,Age50_64,Age65p,pctAge0004,pctAge65p,MedHHinc,TotEduc,Educ_ltHS,Educ_HS,Educ_Coll,pct_ltHS,pct_HS,pct_Coll,TotPovLev,TotBelow,TotAbove,pctBelow,pctAbove,TotHU,TotOcc,TotVac,pctOccup,pctVacant,Own,Rent,pctOwn,pctRent,TotHHpub,PubAsst,NPubAsst,pctPubAsst,pctNPubAst,TotFamily,SinglFemHH,FemHHwc,pctFemHH,pctFemHHwc,sumlevel,stfips,county,tract,GeoID10_cnty
TX,48201532700,4820,1008,2054,123,76,1559,20.91,42.61,2.55,1.58,32.34,2493,2327,51.72,48.28,378,844,251,537,713,688,979,430,7.84,8.92,53714,2635,410,782,1443,15.56,29.68,54.76,4552,904,3648,19.86,80.14,1954,1764,190,90.28,9.72,1204,560,68.25,31.75,1568,23,1545,1.47,98.53,1230,325,170,26.42,13.82,140,48,201,532700,
TX,48201532800,1684,389,473,66,25,731,23.10,28.09,3.92,1.48,43.41,884,800,52.49,47.51,131,311,76,183,209,223,360,191,7.78,11.34,44091,1144,295,211,638,25.79,18.44,55.77,1857,462,1395,24.88,75.12,718,613,105,85.38,14.62,451,162,73.57,26.43,692,0,692,0.00,100.00,409,104,55,25.43,13.45,140,48,201,532800,
TX,48201532900,4667,271,2013,401,41,1941,5.81,43.13,8.59,0.88,41.59,2426,2241,51.98,48.02,347,1090,280,521,637,631,904,257,7.44,5.51,51109,2899,829,916,1154,28.60,31.60,39.81,4650,612,4038,13.16,86.84,1620,1370,250,84.57,15.43,953,417,69.56,30.44,1355,0,1355,0.00,100.00,1126,316,171,28.06,15.19,140,48,201,532900,
TX,48201533000,2245,44,1547,28,32,594,1.96,68.91,1.25,1.43,26.46,1227,1018,54.65,45.35,261,472,142,324,271,267,321,187,11.63,8.33,23632,903,275,259,369,30.45,28.68,40.86,1924,730,1194,37.94,62.06,1050,787,263,74.95,25.05,205,582,26.05,73.95,640,20,620,3.13,96.88,540,290,148,53.70,27.41,140,48,201,533000,
TX,48201533100,6449,525,4163,94,78,1589,8.14,64.55,1.46,1.21,24.64,3475,2974,53.88,46.12,590,1423,423,671,804,901,1177,460,9.15,7.13,46533,3743,903,1326,1514,24.13,35.43,40.45,6665,2007,4658,30.11,69.89,2312,2136,176,92.39,7.61,1371,765,64.19,35.81,2157,217,1940,10.06,89.94,1612,670,392,41.56,24.32,140,48,201,533100,
TX,48201533200,3222,182,2282,63,44,651,5.65,70.83,1.96,1.37,20.20,1663,1559,51.61,48.39,224,641,178,338,376,426,716,323,6.95,10.02,30090,2240,512,874,854,22.86,39.02,38.13,3769,1073,2696,28.47,71.53,1526,1191,335,78.05,21.95,596,595,50.04,49.96,1308,37,1271,2.83,97.17,765,282,126,36.86,16.47,140,48,201,533200,
TX,48201533300,5880,61,4815,25,66,913,1.04,81.89,0.43,1.12,15.53,3085,2795,52.47,47.53,491,1142,357,653,710,726,1109,692,8.35,11.77,26062,4105,1470,1548,1087,35.81,37.71,26.48,6362,2503,3859,39.34,60.66,2313,2090,223,90.36,9.64,1075,1015,51.44,48.56,2007,146,1861,7.27,92.73,1506,786,405,52.19,26.89,140,48,201,533300,
TX,48201533400,9655,281,4137,147,73,5017,2.91,42.85,1.52,0.76,51.96,4890,4765,50.65,49.35,903,2282,588,1098,1297,1214,1513,760,9.35,7.87,37511,5163,1903,2087,1173,36.86,40.42,22.72,9213,1894,7319,20.56,79.44,2877,2695,182,93.67,6.33,1928,767,71.54,28.46,2605,65,2540,2.50,97.50,2184,650,276,29.76,12.64,140,48,201,533400,
TX,48201533500,4383,609,596,166,39,2973,13.89,13.60,3.79,0.89,67.83,2195,2188,50.08,49.92,320,1001,236,477,627,534,694,494,7.30,11.27,50769,2827,974,819,1034,34.45,28.97,36.58,4603,885,3718,19.23,80.77,1278,1227,51,96.01,3.99,1047,180,85.33,14.67,1226,0,1226,0.00,100.00,1019,195,75,19.14,7.36,140,48,201,533500,
TX,48201533600,5480,424,1732,165,57,3102,7.74,31.61,3.01,1.04,56.61,2853,2627,52.06,47.94,597,1392,296,753,951,633,641,217,10.89,3.96,35625,2993,986,986,1021,32.94,32.94,34.11,5776,1568,4208,27.15,72.85,1885,1714,171,90.93,9.07,322,1392,18.79,81.21,1709,18,1691,1.05,98.95,1328,502,344,37.80,25.90,140,48,201,533600,
TX,48201533701,5695,209,864,161,38,4423,3.67,15.17,2.83,0.67,77.66,2735,2960,48.02,51.98,686,1325,385,899,904,711,612,173,12.05,3.04,35670,2990,1722,659,609,57.59,22.04,20.37,6141,1544,4597,25.14,74.86,1837,1581,256,86.06,13.94,524,1057,33.14,66.86,1565,14,1551,0.89,99.11,1255,357,254,28.45,20.24,140,48,201,533701,
TX,48201533702,3498,219,392,142,20,2725,6.26,11.21,4.06,0.57,77.90,1677,1821,47.94,52.06,308,878,243,395,471,483,504,216,8.81,6.17,40119,1872,771,704,397,41.19,37.61,21.21,3294,635,2659,19.28,80.72,877,849,28,96.81,3.19,652,197,76.80,23.20,886,13,873,1.47,98.53,758,142,68,18.73,8.97,140,48,201,533702,
TX,48201533801,8645,405,1775,881,56,5528,4.68,20.53,10.19,0.65,63.94,4287,4358,49.59,50.41,890,2215,485,1097,1572,1136,950,300,10.29,3.47,42802,3911,1833,1066,1012,46.87,27.26,25.88,7005,1656,5349,23.64,76.36,2357,2226,131,94.44,5.56,1803,423,81.00,19.00,1829,26,1803,1.42,98.58,1922,398,231,20.71,12.02,140,48,201,533801,
TX,48201533802,6182,557,835,485,76,4229,9.01,13.51,7.85,1.23,68.41,3065,3117,49.58,50.42,641,1569,347,694,1022,810,744,355,10.37,5.74,34777,2799,1246,791,762,44.52,28.26,27.22,5533,2018,3515,36.47,63.53,1749,1624,125,92.85,7.15,1173,451,72.23,27.77,1457,44,1413,3.02,96.98,1388,255,132,18.37,9.51,140,48,201,533802,
TX,48201533901,9260,716,2791,685,119,4949,7.73,30.14,7.40,1.29,53.44,4781,4479,51.63,48.37,776,2278,624,955,1425,1361,1417,424,8.38,4.58,47138,4974,1534,1415,2025,30.84,28.45,40.71,8859,1283,7576,14.48,85.52,2605,2480,125,95.20,4.80,1933,547,77.94,22.06,2481,92,2389,3.71,96.29,2130,509,253,23.90,11.88,140,48,201,533901,
TX,48201533902,4408,202,1642,201,41,2322,4.58,37.25,4.56,0.93,52.68,2338,2070,53.04,46.96,493,1064,296,647,672,472,524,240,11.18,5.44,31521,2387,721,752,914,30.21,31.50,38.29,4582,1282,3300,27.98,72.02,1653,1451,202,87.78,12.22,238,1213,16.40,83.60,1399,8,1391,0.57,99.43,1025,437,305,42.63,29.76,140,48,201,533902,
TX,48201534001,2959,388,238,255,14,2064,13.11,8.04,8.62,0.47,69.75,1424,1535,48.12,51.88,371,640,189,443,526,341,329,120,12.54,4.06,29620,1173,559,481,133,47.66,41.01,11.34,1936,414,1522,21.38,78.62,1018,905,113,88.90,11.10,263,642,29.06,70.94,817,29,788,3.55,96.45,641,158,101,24.65,15.76,140,48,201,534001,
TX,48201534002,5680,617,1102,221,54,3686,10.86,19.40,3.89,0.95,64.89,2814,2866,49.54,50.46,502,1467,396,618,820,757,824,296,8.84,5.21,49513,2959,955,1073,931,32.27,36.26,31.46,5831,1269,4562,21.76,78.24,1501,1431,70,95.34,4.66,1043,388,72.89,27.11,1484,0,1484,0.00,100.00,1259,273,141,21.68,11.20,140,48,201,534002,
TX,48201534003,2678,106,673,294,36,1569,3.96,25.13,10.98,1.34,58.59,1300,1378,48.54,51.46,291,683,145,318,568,367,256,50,10.87,1.87,61337,1216,275,410,531,22.62,33.72,43.67,2396,664,1732,27.71,72.29,741,713,28,96.22,3.78,492,221,69.00,31.00,666,0,666,0.00,100.00,603,137,94,22.72,15.59,140,48,201,534003,
TX,48201534100,7488,1273,908,1308,110,3889,17.00,12.13,17.47,1.47,51.94,3711,3777,49.56,50.44,590,1749,409,765,1254,1051,1261,409,7.88,5.46,57193,4281,1182,1254,1845,27.61,29.29,43.10,7142,704,6438,9.86,90.14,2153,2041,112,94.80,5.20,1726,315,84.57,15.43,2003,24,1979,1.20,98.80,1766,340,180,19.25,10.19,140,48,201,534100,
TX,48201534201,2582,468,185,287,32,1610,18.13,7.16,11.12,1.24,62.35,1218,1364,47.17,52.83,260,536,141,394,419,338,291,203,10.07,7.86,39432,1215,476,433,306,39.18,35.64,25.19,2177,555,1622,25.49,74.51,890,805,85,90.45,9.55,393,412,48.82,51.18,597,0,597,0.00,100.00,529,95,69,17.96,13.04,140,48,201,534201,
TX,48201534202,8515,4565,896,904,144,2006,53.61,10.52,10.62,1.69,23.56,4353,4162,51.12,48.88,562,1469,362,858,1152,1404,2005,703,6.60,8.26,68954,5534,415,949,4170,7.50,17.15,75.35,7989,297,7692,3.72,96.28,3769,3382,387,89.73,10.27,2384,998,70.49,29.51,3073,13,3060,0.42,99.58,2296,390,222,16.99,9.67,140,48,201,534202,
TX,48201534203,1716,418,139,127,12,1020,24.36,8.10,7.40,0.70,59.44,862,854,50.23,49.77,191,346,78,261,266,168,213,193,11.13,11.25,41901,1002,319,292,391,31.84,29.14,39.02,1193,236,957,19.78,80.22,539,509,30,94.43,5.57,272,237,53.44,46.56,430,0,430,0.00,100.00,392,89,64,22.70,16.33,140,48,201,534203,
TX,48201540100,12349,5205,631,2643,245,3625,42.15,5.11,21.40,1.98,29.35,6103,6246,49.42,50.58,1038,2639,466,924,1849,2171,2424,838,8.41,6.79,114349,7242,677,1014,5551,9.35,14.00,76.65,10750,652,10098,6.07,93.93,4080,3946,134,96.72,3.28,3207,739,81.27,18.73,3537,31,3506,0.88,99.12,3315,286,155,8.63,4.68,140,48,201,540100,
TX,48201540200,2654,596,170,260,31,1597,22.46,6.41,9.80,1.17,60.17,1324,1330,49.89,50.11,222,472,160,395,419,356,441,189,8.36,7.12,46661,1697,545,454,698,32.12,26.75,41.13,2585,483,2102,18.68,81.32,1006,938,68,93.24,6.76,524,414,55.86,44.14,985,22,963,2.23,97.77,618,136,74,22.01,11.97,140,48,201,540200,
TX,48201540501,6024,1282,753,196,103,3690,21.28,12.50,3.25,1.71,61.25,3013,3011,50.02,49.98,743,1184,391,1065,1053,690,705,193,12.33,3.20,35156,3516,938,1476,1102,26.68,41.98,31.34,5851,1239,4612,21.18,78.82,2617,2291,326,87.54,12.46,320,1971,13.97,86.03,2169,0,2169,0.00,100.00,1419,451,339,31.78,23.89,140,48,201,540501,
TX,48201540502,5248,3211,235,141,106,1555,61.19,4.48,2.69,2.02,29.63,2666,2582,50.80,49.20,329,985,220,490,676,804,1253,491,6.27,9.36,79964,3784,255,1037,2492,6.74,27.40,65.86,5274,39,5235,0.74,99.26,1914,1847,67,96.50,3.50,1610,237,87.17,12.83,1815,0,1815,0.00,100.00,1430,248,104,17.34,7.27,140,48,201,540502,
TX,48201540601,2632,1103,328,408,78,715,41.91,12.46,15.50,2.96,27.17,1337,1295,50.80,49.20,160,553,147,244,348,443,592,145,6.08,5.51,91509,1831,134,289,1408,7.32,15.78,76.90,2760,26,2734,0.94,99.06,898,859,39,95.66,4.34,758,101,88.24,11.76,843,0,843,0.00,100.00,679,101,49,14.87,7.22,140,48,201,540601,
