GEOID,Total Population,18-21 years,22-29 years,30-39 years,40-49 years,65 years and over,Hispanic,Black non-Hispanic,Other non-Hispanic,White non-hispanic,Male,Female,Education Total,Less than high school,High school,College,tract_x,tract_y,latitude,longitude,google_loc,Age50_64
48201220600,3894,260,541,518,484,244,2937,694,14,244,1888,2006,1930,1183,462,285,220600,2206,29.8418052,-95.3668801,"29.8418052, -95.3668801 (2206)",422
48201220700,6317,381,832,869,738,534,4482,1571,38,201,3248,3069,3379,1846,957,576,220700,2207,29.8342967,-95.3496337,"29.8342967, -95.3496337 (2207)",844
48201220800,3289,223,390,405,425,256,1575,1612,21,69,1593,1696,1404,766,386,252,220800,2208,29.8308466,-95.3387038,"29.8308466, -95.3387038 (2208)",419
48201220900,1852,144,251,228,234,128,1499,276,13,49,981,871,904,459,255,190,220900,2209,29.8488405,-95.3376376,"29.8488405, -95.3376376 (2209)",228
48201221000,4037,278,541,581,470,284,3148,528,28,326,1989,2048,1999,1167,435,397,221000,2210,29.8603325,-95.3448895,"29.8603325, -95.3448895 (2210)",525
48201221100,3598,257,477,497,451,203,3203,42,10,314,1890,1708,2126,1343,417,366,221100,2211,29.860055,-95.3546869,"29.860055, -95.3546869 (2211)",492
48201221200,5994,384,755,810,809,427,5184,91,24,690,3080,2914,3527,1864,960,703,221200,2212,29.8645953,-95.3740348,"29.8645953, -95.3740348 (2212)",862
48201221300,8593,598,1104,1231,1092,545,7718,109,42,700,4379,4214,4701,2499,1729,473,221300,2213,29.8523942,-95.3727789,"29.8523942, -95.3727789 (2213)",1161
48201221400,6137,417,927,977,698,324,5470,161,29,468,3265,2872,3386,2130,853,403,221400,2214,29.8534357,-95.391567,"29.8534357, -95.391567 (2214)",711
48201221500,8259,584,1298,1228,1048,497,6340,1257,46,583,4112,4147,3995,2121,1313,561,221500,2215,29.8671492,-95.3950346,"29.8671492, -95.3950346 (2215)",848
48201221600,9217,571,1040,1381,1174,765,7551,154,50,1385,4733,4484,4981,2813,1255,913,221600,2216,29.8792764,-95.4010173,"29.8792764, -95.4010173 (2216)",1251
48201221700,8245,548,1094,1315,961,437,7326,60,33,690,4318,3927,4020,2004,1140,876,221700,2217,29.8802173,-95.3785577,"29.8802173, -95.3785577 (2217)",902
48201221800,4285,294,518,687,515,173,3913,15,4,347,2262,2023,1675,1095,412,168,221800,2218,29.882525,-95.3610554,"29.882525, -95.3610554 (2218)",485
48201221900,4888,346,579,691,577,335,4396,62,14,410,2534,2354,2196,1224,643,329,221900,2219,29.8818677,-95.3491038,"29.8818677, -95.3491038 (2219)",589
48201222000,2507,207,358,324,342,153,2156,117,19,214,1365,1142,1229,610,528,91,222000,2220,29.8680795,-95.336921,"29.8680795, -95.336921 (2220)",354
48201222100,5621,354,645,818,680,433,4954,108,34,502,2875,2746,2991,1835,739,417,222100,2221,29.8797791,-95.3349059,"29.8797791, -95.3349059 (2221)",767
48201222200,3726,240,543,506,456,285,3122,290,38,271,2013,1713,1954,1123,568,263,222200,2222,29.892562,-95.3254249,"29.892562, -95.3254249 (2222)",475
48201222300,4512,271,563,602,550,320,3777,182,25,475,2234,2278,2000,1077,518,405,222300,2223,29.8959119,-95.3513748,"29.8959119, -95.3513748 (2223)",609
48201222401,3701,282,477,579,469,209,3103,34,16,437,2012,1689,1461,793,441,227,222401,2224.01,29.9005904,-95.3964095,"29.9005904, -95.3964095 (2224.01)",464
48201222402,5906,400,666,920,764,336,4828,288,47,683,3085,2821,2921,1794,579,548,222402,2224.02,29.9111919,-95.3889136,"29.9111919, -95.3889136 (2224.02)",752
48201222501,2860,188,523,507,344,145,2510,156,9,168,1561,1299,1322,903,248,171,222501,2225.01,29.9283143,-95.4058397,"29.9283143, -95.4058397 (2225.01)",237
48201222502,4025,283,459,546,508,312,3269,146,24,563,2055,1970,2100,1104,558,438,222502,2225.02,29.9253365,-95.3885504,"29.9253365, -95.3885504 (2225.02)",573
48201222503,6614,504,948,1111,863,282,5818,424,26,321,3558,3056,3731,2381,807,543,222503,2225.03,29.9203357,-95.4033164,"29.9203357, -95.4033164 (2225.03)",663
48201222600,4947,330,928,862,481,200,4053,739,22,106,2629,2318,2791,1679,833,279,222600,2226,29.935753,-95.3977445,"29.935753, -95.3977445 (2226)",504
48201222700,5175,418,743,546,475,558,1225,3538,35,359,2089,3086,2314,766,812,736,222700,2227,29.9343627,-95.3357433,"29.9343627, -95.3357433 (2227)",515
48201222800,3561,236,421,547,457,178,2930,42,40,483,1839,1722,1791,993,613,185,222800,2228,29.9234175,-95.3657928,"29.9234175, -95.3657928 (2228)",409
48201222900,7848,545,891,1045,1029,628,6300,707,59,709,3947,3901,4358,1880,1354,1124,222900,2229,29.9142916,-95.3450125,"29.9142916, -95.3450125 (2229)",1215
48201223001,3591,281,438,436,426,284,2689,596,24,265,1814,1777,1444,687,482,275,223001,2230.01,29.9164122,-95.3150362,"29.9164122, -95.3150362 (2230.01)",465
48201223002,3985,291,574,581,434,323,3370,358,29,203,2047,1938,2312,1428,549,335,223002,2230.02,29.906774,-95.327696,"29.906774, -95.327696 (2230.02)",415
48201223100,2111,129,222,308,301,157,1569,147,8,375,1063,1048,1150,596,361,193,223100,2231,29.9236934,-95.3245004,"29.9236934, -95.3245004 (2231)",269
48201230100,1705,80,193,170,210,231,311,1363,12,19,804,901,957,383,313,261,230100,2301,29.8138484,-95.330229,"29.8138484, -95.330229 (2301)",271
48201230200,5054,290,485,601,703,778,638,4235,59,112,2410,2644,3700,1060,1468,1172,230200,2302,29.8199173,-95.3073371,"29.8199173, -95.3073371 (2302)",917
48201230300,1803,90,150,220,238,267,418,1339,18,28,911,892,1853,629,854,370,230300,2303,29.8347332,-95.3127198,"29.8347332, -95.3127198 (2303)",361
48201230400,3719,217,463,442,480,429,1772,1869,24,52,1881,1838,2340,1056,782,502,230400,2304,29.8305873,-95.325201,"29.8305873, -95.325201 (2304)",628
48201230500,4174,299,544,510,521,430,3312,678,29,145,2160,2014,2629,1313,743,573,230500,2305,29.8484539,-95.3283761,"29.8484539, -95.3283761 (2305)",567
48201230600,2572,148,236,312,359,372,881,1624,23,37,1297,1275,1646,517,606,523,230600,2306,29.8448725,-95.3092658,"29.8448725, -95.3092658 (2306)",472
48201230700,2651,139,302,295,338,365,630,1960,27,34,1190,1461,1632,475,524,633,230700,2307,29.8530072,-95.3099266,"29.8530072, -95.3099266 (2307)",400
