,LOT,Lat,Long
0,3,29.757283100000002,-95.3627308
1,1,29.766384600000002,-95.3513042
2,2,29.7864497,-95.3622075
3,3,29.7952577,-95.3603828
4,3,29.807040399999998,-95.3653598
5,2,29.8063932,-95.3539843
6,2,29.7952081,-95.344723
7,1,29.804158500000003,-95.3312426
8,1,29.7970912,-95.3321489
9,2,29.7870751,-95.33203950000001
10,1,29.798173100000003,-95.3203735
11,1,29.777440000000002,-95.32740890000001
12,2,29.765751399999996,-95.3282383
13,3,29.766665999999997,-95.2968872
14,2,29.780978100000002,-95.31154529999999
15,1,29.796595899999996,-95.3043165
16,3,29.783817,-95.2995098
17,3,29.7747755,-95.3550489
18,3,29.7863474,-95.2850878
19,1,29.752083600000002,-95.2767055
20,2,29.815158299999997,-95.34352940000001
21,3,29.816574,-95.36505190000001
22,3,29.8242157,-95.3657275
23,3,29.831578000000004,-95.36632220000001
24,3,29.8362174,-95.3814687
25,2,29.841805199999996,-95.3668801
26,2,29.8342967,-95.34963370000001
27,2,29.8308466,-95.33870379999999
28,2,29.8488405,-95.3376376
29,3,29.860332500000002,-95.34488950000001
30,3,29.860055,-95.3546869
31,3,29.864595299999998,-95.3740348
32,3,29.8523942,-95.37277890000001
33,3,29.853435700000002,-95.39156700000001
34,2,29.867149199999997,-95.39503459999999
35,3,29.8792764,-95.40101729999999
36,3,29.8802173,-95.3785577
37,3,29.882525,-95.3610554
38,3,29.881867699999997,-95.3491038
39,3,29.868079499999997,-95.33692099999999
40,3,29.879779100000004,-95.3349059
41,3,29.892561999999998,-95.3254249
42,3,29.8959119,-95.3513748
43,3,29.9005904,-95.3964095
44,3,29.9111919,-95.3889136
45,3,29.928314299999997,-95.4058397
46,3,29.9253365,-95.38855040000001
47,3,29.920335700000003,-95.40331640000001
48,2,29.935753000000002,-95.3977445
49,1,29.934362699999998,-95.33574329999999
50,3,29.9234175,-95.3657928
51,3,29.914291600000002,-95.3450125
52,2,29.916412199999996,-95.31503620000001
53,3,29.906774,-95.327696
54,3,29.9236934,-95.3245004
55,1,29.8138484,-95.330229
56,1,29.8199173,-95.3073371
57,1,29.8347332,-95.3127198
58,1,29.8305873,-95.325201
59,2,29.8484539,-95.3283761
60,1,29.844872499999997,-95.30926579999999
61,1,29.853007199999997,-95.3099266
62,1,29.8398272,-95.2937237
63,1,29.818201000000002,-95.282634
64,1,29.8401714,-95.2786836
65,2,29.8277499,-95.2500065
66,1,29.875083,-95.2473537
67,1,29.8582183,-95.2726329
68,1,29.8637479,-95.2870796
69,1,29.859840999999996,-95.29654690000001
70,1,29.861744399999996,-95.3074845
71,3,29.8761202,-95.31986040000001
72,2,29.8763695,-95.3077825
73,1,29.8790857,-95.27457220000001
74,2,29.903559899999998,-95.2713048
75,2,29.9054154,-95.3072963
76,3,29.9249436,-95.2608743
77,3,29.8726614,-95.21663740000001
78,2,29.859607699999998,-95.20482790000001
79,3,29.821079200000003,-95.1921157
80,2,29.8118412,-95.1879797
81,2,29.8090933,-95.2052647
82,2,29.805997100000003,-95.2502681
83,3,29.7844995,-95.2495802
84,2,29.788649300000003,-95.22782729999999
85,2,29.775552299999998,-95.2166662
86,2,29.786961600000005,-95.2056287
87,2,29.801152000000002,-95.1933761
88,3,29.7971928,-95.1825542
89,2,29.8017233,-95.17018309999999
90,4,29.793698100000004,-95.1707437
91,3,29.7875614,-95.1793247
92,3,29.779757500000002,-95.1642778
93,3,29.776464299999997,-95.1762714
94,3,29.779305100000002,-95.1927525
95,3,29.754255199999996,-95.20062440000001
96,3,29.770837100000005,-95.24530250000001
97,3,29.763349199999997,-95.2392045
98,1,29.7564963,-95.260864
99,3,29.7357783,-95.2467911
100,3,29.7475453,-95.2379374
101,3,29.743492,-95.2215425
102,2,29.946191600000002,-95.4027251
103,2,29.9875092,-95.3732954
104,2,29.958255199999996,-95.3914922
105,2,29.9484522,-95.3920165
106,2,29.958169899999998,-95.4085283
107,2,30.010081800000002,-95.41417779999999
108,2,29.9803374,-95.4060929
109,3,30.030491499999997,-95.4173916
110,3,30.0219364,-95.3668122
111,2,30.020592800000003,-95.3174302
112,2,30.019526799999998,-95.2880156
113,4,30.056060700000003,-95.33746479999999
114,4,30.062464799999997,-95.38911850000001
115,3,30.0522607,-95.365023
116,3,30.0474108,-95.3807767
117,3,30.046370399999997,-95.396946
118,3,30.0692488,-95.4177488
119,4,30.085192100000004,-95.40578719999999
120,2,29.960238300000004,-95.3195223
